month,peak,gain,% gain
2020-06-01,5172.0,0.0,0.0
2020-07-01,4696.0,-476.0,-9.2
2020-08-01,16020.0,11324.0,241.1
2020-09-01,7273.0,-8747.0,-54.6
2020-10-01,15854.0,8581.0,118.0
2020-11-01,16753.0,899.0,5.7
2020-12-01,17240.0,487.0,2.9
2021-01-01,17685.0,445.0,2.6
2021-02-01,37799.0,20114.0,113.7
2021-03-01,24348.0,-13451.0,-35.6
2021-04-01,39782.0,15434.0,63.4
2021-05-01,24379.0,-15403.0,-38.7
2021-06-01,55194.0,30815.0,126.4
2021-07-01,84445.0,29251.0,53.0
2021-08-01,129643.0,45198.0,53.5
2021-09-01,110502.0,-19141.0,-14.8
2021-10-01,125347.0,14845.0,13.4
2021-11-01,166754.0,-63990.0,33.0
2021-12-01,89603.0,-77151.0,-46.3
2022-01-01,58521.0,-31082.0,-34.7
2022-02-01,54568.0,-3953.0,-6.8
2022-03-01,49881.0,-4687.0,-8.6
2022-04-01,45760.0,-4121.0,-8.3
2022-05-01,36054.0,-9706.0,-21.2
2022-06-01,45918.0,9864.0,27.4
2022-07-01,42827.0,-3091.0,-6.7
2022-08-01,50501.0,7674.0,17.9
2022-09-01,56221.0,5720.0,11.3
2022-10-01,48122.0,-8099.0,-14.4
2022-11-01,135995.0,87873.0,182.6
2022-12-01,129950.0,-6045.0,-4.4
2023-01-01,85377.0,-44573.0,-34.3
2023-02-01,76714.0,-8663.0,-10.1
2023-03-01,68891.0,-7823.0,-10.2
2023-04-01,61209.0,-7682.0,-11.2
2023-05-01,57394.0,-3815.0,-6.2
2023-06-01,56705.0,-689.0,-1.2
2023-07-01,49899.0,-6806.0,-12.0
2023-08-01,47983.0,-1916.0,-3.8
2023-09-01,44710.0,-3273.0,-6.8
2023-10-01,165411.0,120701.0,270.0
2023-11-01,212581.0,47170.0,28.5
2023-12-01,184128.0,-28453.0,-13.4
2024-01-01,120407.0,-63721.0,-34.6
2024-02-01,110298.0,-10109.0,-8.4
2024-03-01,119930.0,9632.0,8.7
2024-04-01,82059.0,-37871.0,-31.6
2024-05-01,73884.0,-8175.0,-10.0
2024-06-01,94969.0,21085.0,28.5
2024-07-01,100692.0,5723.0,6.0
2024-08-01,83865.0,-16827.0,-16.7
2024-09-01,76216.0,-7649.0,-9.1
2024-10-01,76675.0,459.0,0.6
2024-11-01,93875.0,17200.0,22.4
2024-12-01,74582.0,-19293.0,-20.6
2025-01-01,76175.0,1593.0,2.1
2025-02-01,89933.0,13758.0,18.1
2025-03-01,81088.0,-8845.0,-9.8
2025-04-01,52747.0,-28341.0,-35.0
2025-05-01,59146.0,6399.0,12.1
2025-06-01,45532.0,-13614.0,-23.0
2025-07-01,44634.0,-898.0,-2.0
2025-08-01,121175.0,76541.0,171.5
